 frequency       v(inoise_spectrum) v(onoise_spectrum)
 1.28720000e+11  5.79444171e-02  1.03338589e-03 
 1.28800000e+11  5.76106042e-02  1.03341257e-03 
 1.28880000e+11  5.72778718e-02  1.03343944e-03 
 1.28960000e+11  5.69462031e-02  1.03346647e-03 
 1.29040000e+11  5.66155811e-02  1.03349369e-03 
 1.29120000e+11  5.62859898e-02  1.03352109e-03 
 1.29200000e+11  5.59574130e-02  1.03354866e-03 
 1.29280000e+11  5.56298353e-02  1.03357641e-03 
 1.29360000e+11  5.53032414e-02  1.03360434e-03 
 1.29440000e+11  5.49776165e-02  1.03363245e-03 
 1.29520000e+11  5.46529461e-02  1.03366074e-03 
 1.29600000e+11  5.43292162e-02  1.03368920e-03 
 1.29680000e+11  5.40064130e-02  1.03371785e-03 
 1.29760000e+11  5.36845232e-02  1.03374667e-03 
 1.29840000e+11  5.33635336e-02  1.03377568e-03 
 1.29920000e+11  5.30434316e-02  1.03380486e-03 
 1.30000000e+11  5.27242050e-02  1.03383423e-03 
 1.30080000e+11  5.24058418e-02  1.03386378e-03 
 1.30160000e+11  5.20883304e-02  1.03389350e-03 
 1.30240000e+11  5.17716594e-02  1.03392341e-03 
 1.30320000e+11  5.14558181e-02  1.03395351e-03 
 1.30400000e+11  5.11407959e-02  1.03398378e-03 
 1.30480000e+11  5.08265824e-02  1.03401424e-03 
 1.30560000e+11  5.05131679e-02  1.03404488e-03 
 1.30640000e+11  5.02005428e-02  1.03407571e-03 
 1.30720000e+11  4.98886978e-02  1.03410672e-03 
 1.30800000e+11  4.95776241e-02  1.03413792e-03 
 1.30880000e+11  4.92673131e-02  1.03416930e-03 
 1.30960000e+11  4.89577565e-02  1.03420087e-03 
 1.31040000e+11  4.86489465e-02  1.03423262e-03 
 1.31120000e+11  4.83408754e-02  1.03426457e-03 
 1.31200000e+11  4.80335360e-02  1.03429670e-03 
 1.31280000e+11  4.77269213e-02  1.03432902e-03 
 1.31360000e+11  4.74210246e-02  1.03436154e-03 
 1.31440000e+11  4.71158396e-02  1.03439424e-03 
 1.31520000e+11  4.68113602e-02  1.03442714e-03 
 1.31600000e+11  4.65075806e-02  1.03446023e-03 
 1.31680000e+11  4.62044955e-02  1.03449352e-03 
 1.31760000e+11  4.59020996e-02  1.03452700e-03 
 1.31840000e+11  4.56003882e-02  1.03456067e-03 
